CustomerID,LastLoginDate,LoginFrequency,ServiceUsage
1,2023-10-21 00:00:00,34,Mobile App
2,2023-12-05 00:00:00,5,Website
3,2023-11-15 00:00:00,3,Website
4,2023-08-25 00:00:00,2,Website
5,2023-10-27 00:00:00,41,Website
6,2023-09-17 00:00:00,2,Website
7,2023-01-07 00:00:00,32,Mobile App
8,2023-04-22 00:00:00,17,Online Banking
9,2023-06-27 00:00:00,24,Website
10,2023-01-13 00:00:00,29,Online Banking
11,2023-01-22 00:00:00,30,Online Banking
12,2023-12-31 00:00:00,43,Website
13,2023-07-05 00:00:00,10,Mobile App
14,2023-01-10 00:00:00,26,Online Banking
15,2023-06-15 00:00:00,44,Online Banking
16,2023-03-15 00:00:00,41,Online Banking
17,2023-09-03 00:00:00,8,Online Banking
18,2023-11-24 00:00:00,37,Website
19,2023-03-08 00:00:00,39,Online Banking
20,2023-08-15 00:00:00,16,Website
21,2023-06-16 00:00:00,18,Website
22,2023-05-06 00:00:00,42,Mobile App
23,2023-07-07 00:00:00,19,Mobile App
24,2023-10-04 00:00:00,12,Mobile App
25,2023-02-15 00:00:00,27,Mobile App
26,2023-09-29 00:00:00,45,Mobile App
27,2023-10-01 00:00:00,22,Mobile App
28,2023-10-26 00:00:00,42,Online Banking
29,2023-09-02 00:00:00,34,Website
30,2023-07-12 00:00:00,38,Website
31,2023-08-17 00:00:00,23,Online Banking
32,2023-01-06 00:00:00,48,Mobile App
33,2023-05-19 00:00:00,24,Mobile App
34,2023-04-03 00:00:00,44,Online Banking
35,2023-05-23 00:00:00,19,Mobile App
36,2023-02-11 00:00:00,6,Online Banking
37,2023-08-28 00:00:00,3,Online Banking
38,2023-11-27 00:00:00,47,Online Banking
39,2023-01-20 00:00:00,26,Online Banking
40,2023-10-14 00:00:00,20,Website
41,2023-07-04 00:00:00,38,Mobile App
42,2023-07-17 00:00:00,10,Mobile App
43,2023-05-25 00:00:00,25,Mobile App
44,2023-11-13 00:00:00,35,Mobile App
45,2023-09-02 00:00:00,49,Online Banking
46,2023-07-31 00:00:00,24,Online Banking
47,2023-04-19 00:00:00,21,Website
48,2023-06-12 00:00:00,34,Website
49,2023-02-19 00:00:00,18,Online Banking
50,2023-07-15 00:00:00,19,Online Banking
51,2023-10-31 00:00:00,3,Mobile App
52,2023-02-16 00:00:00,6,Mobile App
53,2023-10-02 00:00:00,20,Mobile App
54,2023-01-20 00:00:00,22,Online Banking
55,2023-08-18 00:00:00,33,Website
56,2023-08-20 00:00:00,14,Mobile App
57,2023-07-20 00:00:00,44,Online Banking
58,2023-04-17 00:00:00,9,Online Banking
59,2023-12-11 00:00:00,45,Online Banking
60,2023-03-02 00:00:00,25,Mobile App
61,2023-12-27 00:00:00,47,Website
62,2023-08-27 00:00:00,16,Mobile App
63,2023-05-26 00:00:00,7,Mobile App
64,2023-06-03 00:00:00,11,Online Banking
65,2023-09-25 00:00:00,27,Mobile App
66,2023-08-17 00:00:00,40,Online Banking
67,2023-07-23 00:00:00,17,Online Banking
68,2023-07-25 00:00:00,5,Website
69,2023-11-13 00:00:00,29,Mobile App
70,2023-03-15 00:00:00,10,Mobile App
71,2023-08-17 00:00:00,47,Online Banking
72,2023-04-25 00:00:00,25,Online Banking
73,2023-10-27 00:00:00,24,Online Banking
74,2023-02-19 00:00:00,44,Mobile App
75,2023-06-17 00:00:00,12,Mobile App
76,2023-05-09 00:00:00,5,Website
77,2023-10-15 00:00:00,29,Online Banking
78,2023-10-07 00:00:00,35,Mobile App
79,2023-04-20 00:00:00,23,Online Banking
80,2023-06-09 00:00:00,32,Mobile App
81,2023-12-03 00:00:00,40,Website
82,2023-05-08 00:00:00,19,Mobile App
83,2023-12-31 00:00:00,25,Mobile App
84,2023-11-30 00:00:00,45,Online Banking
85,2023-08-08 00:00:00,37,Mobile App
86,2023-10-18 00:00:00,1,Website
87,2023-11-22 00:00:00,43,Website
88,2023-02-08 00:00:00,13,Online Banking
89,2023-09-06 00:00:00,12,Mobile App
90,2023-05-30 00:00:00,47,Online Banking
91,2023-02-03 00:00:00,43,Mobile App
92,2023-07-01 00:00:00,37,Mobile App
93,2023-10-16 00:00:00,42,Mobile App
94,2023-06-27 00:00:00,41,Website
95,2023-06-20 00:00:00,12,Online Banking
96,2023-02-27 00:00:00,36,Mobile App
97,2023-12-20 00:00:00,38,Website
98,2023-05-23 00:00:00,9,Mobile App
99,2023-02-10 00:00:00,14,Online Banking
100,2023-06-02 00:00:00,45,Online Banking
